virus,treatment,material,temperature,humidity,time,dilution,replicate,virus_detect,comment,experiment_id,material_id,titer_id
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,0,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,0,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,0,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,0,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-1,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-1,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-1,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-1,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-2,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-2,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-2,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-2,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-3,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-3,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-3,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-3,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-4,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-4,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-4,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-4,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-5,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-5,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-5,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-5,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-6,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-6,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-6,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-6,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-7,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-7,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-7,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0,-7,1,0,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,1
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0.166666666666667,0,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,2
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0.166666666666667,0,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,2
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0.166666666666667,0,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,2
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0.166666666666667,0,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,2
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0.166666666666667,-1,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,2
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0.166666666666667,-1,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,2
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0.166666666666667,-1,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,2
SARS-CoV-2,Heat,DMEM uncovered plate oven,70,NA,0.166666666666667,-1,1,1,"uncovered plate of DMEM, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor",1,1,2
